[2025-12-11 13:06:37] INPUT_ACTION | Down
[2025-12-11 13:06:38] INPUT_ACTION | Up
[2025-12-11 13:06:38] INPUT_ACTION | Up
[2025-12-11 13:06:39] INPUT_ACTION | Up
[2025-12-11 13:06:40] INPUT_ACTION | Down
[2025-12-11 13:06:41] INPUT_ACTION | Down
[2025-12-11 13:06:41] INPUT_ACTION | Enter
[2025-12-11 13:06:43] INPUT_ACTION | Down
[2025-12-11 13:06:50] INPUT_ACTION | Enter
[2025-12-11 13:06:52] INPUT_ACTION | Down
[2025-12-11 13:06:56] INPUT_ACTION | Enter
[2025-12-11 13:06:57] INPUT_ACTION | Q
[2025-12-11 13:09:11] INPUT_ACTION | Up
[2025-12-11 13:09:12] INPUT_ACTION | Down
[2025-12-11 13:09:13] INPUT_ACTION | Enter
[2025-12-11 13:09:14] INPUT_ACTION | Up
[2025-12-11 13:09:14] INPUT_ACTION | Up
[2025-12-11 13:09:16] INPUT_ACTION | Enter
[2025-12-11 13:09:16] INPUT_ACTION | Escape
[2025-12-11 13:09:17] INPUT_ACTION | Down
[2025-12-11 13:09:17] INPUT_ACTION | Down
[2025-12-11 13:09:18] INPUT_ACTION | Enter
[2025-12-11 13:09:18] INPUT_ACTION | Enter
[2025-12-11 13:09:19] INPUT_ACTION | Up
[2025-12-11 13:09:20] INPUT_ACTION | Down
[2025-12-11 13:09:20] INPUT_ACTION | Escape
[2025-12-11 13:09:21] INPUT_ACTION | Up
[2025-12-11 13:09:22] INPUT_ACTION | Down
[2025-12-11 13:09:22] INPUT_ACTION | Enter
[2025-12-11 13:09:22] INPUT_ACTION | Up
[2025-12-11 13:09:23] INPUT_ACTION | Up
[2025-12-11 13:09:23] INPUT_ACTION | Up
[2025-12-11 13:09:23] INPUT_ACTION | Up
[2025-12-11 13:09:23] INPUT_ACTION | Escape
[2025-12-11 13:09:24] INPUT_ACTION | Escape
[2025-12-11 13:09:24] INPUT_ACTION | Up
[2025-12-11 13:09:26] INPUT_ACTION | Down
[2025-12-11 13:09:27] INPUT_ACTION | Q
[2025-12-11 13:09:56] INPUT_ACTION | Q
[2025-12-11 13:10:22] INPUT_ACTION | Q
[2025-12-11 13:11:01] INPUT_ACTION | Down
[2025-12-11 13:11:02] INPUT_ACTION | Up
[2025-12-11 13:11:02] INPUT_ACTION | Enter
[2025-12-11 13:11:03] INPUT_ACTION | Up
[2025-12-11 13:11:05] INPUT_ACTION | Enter
[2025-12-11 13:11:05] INPUT_ACTION | Down
[2025-12-11 13:11:07] INPUT_ACTION | Down
[2025-12-11 13:11:07] INPUT_ACTION | Up
[2025-12-11 13:11:11] INPUT_ACTION | Enter
[2025-12-11 13:11:11] INPUT_ACTION | Down
[2025-12-11 13:11:13] INPUT_ACTION | Enter
[2025-12-11 13:11:14] INPUT_ACTION | Q
[2025-12-11 13:19:08] INPUT_ACTION | Up
[2025-12-11 13:19:09] INPUT_ACTION | Down
[2025-12-11 13:19:09] INPUT_ACTION | Enter
[2025-12-11 13:19:13] INPUT_ACTION | Enter
[2025-12-11 13:19:14] INPUT_ACTION | Q
[2025-12-11 13:19:42] INPUT_ACTION | Enter
[2025-12-11 13:19:45] INPUT_ACTION | Enter
[2025-12-11 13:19:46] INPUT_ACTION | Q
[2025-12-11 13:20:24] INPUT_ACTION | Enter
[2025-12-11 13:20:26] INPUT_ACTION | Enter
[2025-12-11 13:20:27] INPUT_ACTION | Q
[2025-12-11 13:20:53] INPUT_ACTION | Enter
[2025-12-11 13:20:56] INPUT_ACTION | Enter
[2025-12-11 13:20:57] INPUT_ACTION | Down
[2025-12-11 13:20:57] INPUT_ACTION | Up
[2025-12-11 13:21:06] INPUT_ACTION | Enter
[2025-12-11 13:21:07] INPUT_ACTION | Q
[2025-12-11 13:25:58] INPUT_ACTION | Enter
[2025-12-11 13:26:11] INPUT_ACTION | Enter
[2025-12-11 13:26:12] INPUT_ACTION | Down
[2025-12-11 13:26:15] INPUT_ACTION | Enter
[2025-12-11 13:26:15] INPUT_ACTION | Down
[2025-12-11 13:26:17] INPUT_ACTION | Enter
[2025-12-11 13:26:17] INPUT_ACTION | Q
[2025-12-11 13:26:31] INPUT_ACTION | Down
[2025-12-11 13:26:33] INPUT_ACTION | Enter
[2025-12-11 13:26:33] INPUT_ACTION | Down
[2025-12-11 13:26:34] INPUT_ACTION | Up
[2025-12-11 13:27:17] INPUT_ACTION | Enter
[2025-12-11 13:27:18] INPUT_ACTION | Q
[2025-12-11 13:27:22] INPUT_ACTION | Enter
[2025-12-11 13:27:24] INPUT_ACTION | Escape
[2025-12-11 13:27:24] INPUT_ACTION | Down
[2025-12-11 13:27:25] INPUT_ACTION | Enter
[2025-12-11 13:27:27] INPUT_ACTION | Down
[2025-12-11 13:27:28] INPUT_ACTION | Down
